,y,Xpanen,Total Amatan
ACEH,1861567.10,20499,78259
SUMATERA UTARA,2108284.72,19815,128137
SUMATERA BARAT,1483076.48,10141,58445
RIAU,266375.53,6608,30018
JAMBI,383045.74,8244,37121
SUMATERA SELATAN,2994191.84,27816,113617
BENGKULU,288810.52,6072,28208
LAMPUNG,2488641.91,16970,80445
KEP. BANGKA BELITUNG,45724.69,813,6840
KEP. RIAU,1097.00,246,3416
DKI JAKARTA,4899.14,75,1260
JAWA BARAT,9647358.75,53955,215536
JAWA TENGAH,10499588.23,42490,214044
DI YOGYAKARTA,514935.49,2829,24732
JAWA TIMUR,10203213.17,37175,309777
BANTEN,1687783.30,13293,41766
BALI,667069.06,3634,19241
NUSA TENGGARA BARAT,1460338.81,8990,55452
NUSA TENGGARA TIMUR,899935.88,19798,69844
KALIMANTAN BARAT,799715.21,12056,71329
KALIMANTAN TENGAH,514769.05,5752,47891
KALIMANTAN SELATAN,1327492.41,22191,88079
KALIMANTAN TIMUR,262773.88,3456,20504
KALIMANTAN UTARA,45063.53,2066,9540
SULAWESI UTARA,326929.74,3105,27527
SULAWESI TENGAH,926978.66,11089,46566
SULAWESI SELATAN,5952616.45,42567,131224
SULAWESI TENGGARA,538876.14,7285,36353
GORONTALO,269540.40,2438,13500
SULAWESI BARAT,316478.37,3651,17010
MALUKU,116228.86,975,6142
MALUKU UTARA,49047.11,648,12843
PAPUA BARAT,24967.13,538,3960
PAPUA,223119.42,871,12187
ACEH,1714437.60,28222,89839
SUMATERA UTARA,2078901.59,26308,144972
SUMATERA BARAT,1482996.01,13833,66728
RIAU,230873.97,9092,33030
JAMBI,309932.68,10790,40844
SUMATERA SELATAN,2603396.24,37414,127476
BENGKULU,296472.07,9549,31054
LAMPUNG,2164089.33,23850,95004
KEP. BANGKA BELITUNG,48805.68,1059,7524
KEP. RIAU,1150.80,313,3753
DKI JAKARTA,3359.31,104,1386
JAWA BARAT,9084957.22,76110,257560
JAWA TENGAH,9655653.98,57400,250515
DI YOGYAKARTA,533477.40,4103,30888
JAWA TIMUR,9580933.88,57316,382268
BANTEN,1470503.35,18249,51176
BALI,579320.53,4272,21285
NUSA TENGGARA BARAT,1402182.39,11368,63650
NUSA TENGGARA TIMUR,811724.18,22889,76838
KALIMANTAN BARAT,847875.13,18082,80164
KALIMANTAN TENGAH,443561.33,10480,52621
KALIMANTAN SELATAN,1342861.82,32322,97529
KALIMANTAN TIMUR,253818.37,4284,22473
KALIMANTAN UTARA,33357.19,2117,10494
SULAWESI UTARA,277776.31,4850,30294
SULAWESI TENGAH,844904.30,13976,51638
SULAWESI SELATAN,5054166.96,54544,159947
SULAWESI TENGGARA,519706.93,9329,40132
GORONTALO,231211.11,4061,14850
SULAWESI BARAT,300142.22,4357,18675
MALUKU,98254.75,1304,6767
MALUKU UTARA,37945.64,840,14235
PAPUA BARAT,29943.56,770,4356
PAPUA,235339.51,1326,13044
